County,Candidate Name,Party,Election Day Votes,Mail Votes,Provisional Votes,Total Votes,% of Vote
LEHIGH,"WEISS, RICHARD  L",GRN,0,0,0,0,0.00
LUZERNE,"WEISS, RICHARD  L",GRN,0,0,0,0,0.00
LYCOMING,"WEISS, RICHARD  L",GRN,0,0,0,0,0.00
McKEAN,"WEISS, RICHARD  L",GRN,0,0,0,0,0.00
MERCER,"WEISS, RICHARD  L",GRN,0,0,0,0,0.00
MIFFLIN,"WEISS, RICHARD  L",GRN,0,0,0,0,0.00
MONROE,"WEISS, RICHARD  L",GRN,0,0,0,0,0.00
MONTGOMERY,"WEISS, RICHARD  L",GRN,0,0,0,0,0.00
MONTOUR,"WEISS, RICHARD  L",GRN,0,0,0,0,0.00
NORTHAMPTON,"WEISS, RICHARD  L",GRN,0,0,0,0,0.00
NORTHUMBERLAND,"WEISS, RICHARD  L",GRN,0,0,0,0,0.00
PERRY,"WEISS, RICHARD  L",GRN,0,0,0,0,0.00
PHILADELPHIA,"WEISS, RICHARD  L",GRN,0,0,0,0,0.00
PIKE,"WEISS, RICHARD  L",GRN,0,0,0,0,0.00
POTTER,"WEISS, RICHARD  L",GRN,0,0,0,0,0.00
SCHUYLKILL,"WEISS, RICHARD  L",GRN,0,0,0,0,0.00
SNYDER,"WEISS, RICHARD  L",GRN,0,0,0,0,0.00
SOMERSET,"WEISS, RICHARD  L",GRN,0,0,0,0,0.00
SULLIVAN,"WEISS, RICHARD  L",GRN,0,0,0,0,0.00
SUSQUEHANNA,"WEISS, RICHARD  L",GRN,0,0,0,0,0.00
TIOGA,"WEISS, RICHARD  L",GRN,0,0,0,0,0.00
UNION,"WEISS, RICHARD  L",GRN,0,0,0,0,0.00
VENANGO,"WEISS, RICHARD  L",GRN,0,0,0,0,0.00
WARREN,"WEISS, RICHARD  L",GRN,0,0,0,0,0.00
WASHINGTON,"WEISS, RICHARD  L",GRN,0,0,0,0,0.00
WAYNE,"WEISS, RICHARD  L",GRN,0,0,0,0,0.00
WESTMORELAND,"WEISS, RICHARD  L",GRN,0,0,0,0,0.00
WYOMING,"WEISS, RICHARD  L",GRN,0,0,0,0,0.00
YORK,"WEISS, RICHARD  L",GRN,0,0,0,0,0.00
